1003,115617,4,5
1003,112852,3.5,5
1003,1721,4.5,5
1003,109487,5,5
1003,104841,4.5,5
1003,79132,4.5,5
1003,91542,3,5
1003,102125,3.5,5
1003,77561,3.5,5
1003,59315,3.5,5
1003,1,3.5,5
1003,3114,3,5
1003,78499,4,5
1003,2,2.5,5
1003,10,2.5,5
1003,6377,4,5
1003,157296,4.5,5
1003,159093,3.5,5
1003,102903,4,5
1003,8947,2,5
1003,8957,3,5
1003,6379,2,5
1003,56336,2.5,5
1003,72998,5,5
1003,114935,4.5,5
1003,48780,4,5
1003,134853,4.5,5
1003,4226,3,5
1003,68358,3,5

1003,6776,4,5
1003,94969,3.5,5
1003,200001,4.5,5
1003,200002,4,5
1003,200003,2.5,5
1003,200004,3,5
1003,200005,4.5,5
1003,200006,4.5,5
1003,200007,3,5
1003,200008,3.5,5
1003,200009,5,5
1003,200010,5,5
